insee,commune_name,total_tiles,total_population,total_households,avg_income_person,mean_poverty_rate,avg_income_person_popweighted,mean_poverty_rate_hhweighted
01105,Civrieux,9,1729.0,629.5,29678.57777777778,3.231111111111111,29028.3473973395,5.020589356632246
01261,Monthieux,4,576.5,208.5,31976.93,1.615,29027.303122289683,1.921448441247002
84060,Lagarde-d'Apt,4,11.5,4.7,28703.825,20.8125,29025.979565217393,19.148297872340425
44114,Orvault,15,10994.0,4314.9,28807.38866666667,6.354666666666666,29025.77106239767,5.275013325917171
33118,Cénac,1,327.5,121.10000000000001,29023.68,4.79,29023.679999999997,4.79
69028,Brindas,3,2785.5,1091.2,30580.75,5.973333333333334,29023.662593789268,7.305866935483871
91100,Bouville,5,531.0,219.9,28658.620000000003,5.32,29019.8397740113,5.502251023192361
38390,Saint-Gervais,3,13.0,7.0,24283.666666666668,16.363333333333333,29014.623076923075,11.427857142857144
69241,Taluyers,1,1731.5,677.0,29011.2,4.14,29011.200000000004,4.14
67150,Furdenheim,2,357.0,130.9,28953.074999999997,7.494999999999999,29002.32788515406,7.564980901451489
14125,Cambes-en-Plaine,1,1085.5,429.09999999999997,29002.06,5.13,29002.06,5.13
27343,Houlbec-Cocherel,3,560.0,212.3,28294.303333333333,4.746666666666667,29000.877053571425,4.148087611869995
51327,Loisy-en-Brie,1,169.0,70.10000000000001,28995.93,7.13,28995.93,7.13
10025,Bagneux-la-Fosse,2,169.5,82.80000000000001,29628.79,11.325,28994.8104719764,8.45090579710145
60428,Le Mont-Saint-Adrien,1,6.0,3.4,28992.6,5.88,28992.599999999995,5.880000000000001
73196,Pallud,1,107.0,44.9,28991.84,2.0,28991.84,2.0
01228,Maillat,1,207.0,82.3,28989.01,6.08,28989.01,6.08
21111,Brognon,1,175.0,63.9,28986.65,3.13,28986.65,3.13
74278,Thyez,3,3462.0,1487.9,32348.056666666667,5.496666666666666,28985.75082900058,7.325755763156126
60408,Monchy-Humières,1,6.0,2.4,28985.13,12.5,28985.13,12.5
01254,Montagnat,5,1272.5,484.9,29105.584000000003,3.3519999999999994,28984.564986247544,3.468564652505672
80297,Étréjust,1,29.0,13.899999999999999,28983.5,0.0,28983.5,0.0
51301,Isse,2,115.0,44.599999999999994,29423.08,2.41,28982.338,1.7939910313901348
06046,Colomars,1,578.5,235.0,28980.63,6.85,28980.63,6.85
77520,Villiers-sous-Grez,4,677.0,290.0,32288.25,12.0175,28977.21815361891,6.9966275862068965
